"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C4","100nF","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","2","","",""
"C2,C5","2200uF","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","~","2","","",""
"C3","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1","","",""
"D1","B40C1500G","Diode_THT:Diode_Bridge_Round_D9.8mm","https://www.vishay.com/docs/88501/b40c1500g.pdf","1","","",""
"D2","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","1","","",""
"J1","From Trfo Output","Components:TerminalBlock_Altech_AK300-4_P5.00mm","~","1","","",""
"J2","IN 12V AC","Components:TerminalBlock_Altech_AK300-2_P5.00mm","~","1","","",""
"J3","OUT 230V AC","Components:TerminalBlock_Altech_AK300-2_P5.00mm","~","1","","",""
"J4","IN 230V AC","Components:TerminalBlock_Altech_AK300-2_P5.00mm","~","1","","",""
"J5","To Power Ampli Power IN","Components:TerminalBlock_Altech_AK300-3_P5.00mm","~","1","","",""
"J6","OUT 5V CC","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","1","","",""
"J7","From Ampli Output","Components:TerminalBlock_Altech_AK300-4_P5.00mm","~","1","","",""
"J8","To Speakers","Components:TerminalBlock_Altech_AK300-4_P5.00mm","~","1","","",""
"J9","OUT 12V CC","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","1","","",""
"K1,K2","SANYOU_SRD_Form_C","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf","2","","",""
"PS1,PS2","HLK-PM01","Components:Converter_ACDC_Hi-Link_HLK-PMxx","https://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%973W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%913W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V2.8.pdf","2","","",""
"Q1","BC171","Package_TO_SOT_THT:TO-92L_Inline_Wide","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs","1","","",""
"Q2","BD235","Components:TO-126-3_Vertical","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs","1","","",""
"R1,R3","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~","2","","",""
"R2","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~","1","","",""
"U1","LM7812_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","1","","",""
